vol.	page	parva	adhy.	from v.	to v.	ipage	
6	396	13	155	1	4	193a	
6	397	13	155	5	26	193b	
6	398	13	155	27	32	194a	
6	398	13	156	1	15	194a	
6	399	13	156	16	26	194b	
6	399	13	157	1	12	194b	
6	400	13	157	13	34	195a	
6	401	13	157	35	35	195b	
6	401	13	158	1	19	195b	
6	402	13	158	20	27	196a	
6	402	13	159	1	10	196a	
6	403	13	159	11	25	196b	
6	404	13	159	26	41	197a	
6	405	13	159	42	46	197b	
6	405	13	160	1	15	197b	
6	406	13	160	16	40	198a	
6	407	13	160	41	56	198b	
6	407	13	161	1	3	198b	
6	408	13	161	4	29	199a	
6	409	13	161	30	44	199b	
6	409	13	162	1	3	199b	
6	410	13	162	4	28	200a	
6	411	13	162	29	29	200b	
6	411	13	163	1	11	200b	
6	412	13	163	12	29	201a	
6	413	13	163	30	50	201b	
6	414	13	163	51	63	202a	
6	414	13	164	1	8	202a	
6	415	13	164	9	14	202b	
6	415	13	165	1	10	202b	
6	416	13	165	11	15	203a	
6	416	13	166	1	10	203a	
6	417	13	166	11	35	203b	
6	418	13	166	36	60	204a	
6	419	13	166	61	62	204b	
6	419	13	167	1	17	204b	
6	419	13	168	1	1	204b	
6	420	13	168	2	25	205a	
6	421	13	168	26	48	205b	
6	422	13	168	49	52	206a	
6	422	13	169	1	18	206a	
6	423	13	169	19	36	206b	
6	424	13	169	37	37	207a	
6	431	---	---	---	---	---	
6	432	14	1	1	14	1a	
6	433	14	1	15	20	1b	
6	433	14	2	1	17	1b	
6	434	14	2	18	20	2a	
6	434	14	3	1	20	2a	
6	435	14	3	21	23	2b	
6	435	14	4	1	19	2b	
6	436	14	4	20	28	3a	
6	436	14	5	1	14	3a	
6	437	14	5	15	28	3b	
6	437	14	6	1	8	3b	
6	438	14	6	9	29	4a	
6	439	14	6	30	33	4b	
6	439	14	7	1	18	4b	
6	440	14	7	19	27	5a	
6	440	14	8	1	14	5a	
6	441	14	8	15	38	5b	
6	442	14	9	1	17	6a	
6	443	14	9	18	30	6b	
6	444	14	9	31	37	7a	
6	444	14	10	1	10	7a	
6	445	14	10	11	28	7b	
6	446	14	10	29	37	8a	
6	446	14	11	1	6	8a	
6	447	14	11	7	19	8b	
6	448	14	11	20	20	9a	
6	448	14	12	1	13	9a	
6	449	14	12	14	16	9b	
6	449	14	13	1	8	9b	
6	450	14	13	9	18	10a	
6	451	14	13	19	22	10b	
6	451	14	14	1	16	10b	
6	452	14	14	17	17	11a	
6	452	14	15	1	21	11a	
6	453	14	15	22	35	11b	
6	453	14	16	1	8	11b	
6	454	14	16	9	29	12a	
6	455	14	16	30	46	12b	
6	456	14	17	1	18	13a	
6	457	14	17	19	41	13b	
6	458	14	17	42	42	14a	
6	458	14	18	1	12	14a	
6	459	14	18	13	27	14b	
6	460	14	18	28	35	15a	
6	460	14	19	1	6	15a	
6	461	14	19	7	22	15b	
6	462	14	19	23	36	16a	
6	463	14	19	37	48	16b	
6	464	14	19	49	66	17a	
6	465	14	20	1	15	17b	
6	466	14	20	16	27	18a	
6	467	14	20	28	28	18b	
6	467	14	21	1	7	18b	
6	468	14	21	8	16	19a	
6	469	14	21	17	25	19b	
6	470	14	21	26	26	20a	
6	470	14	22	1	13	20a	
6	471	14	22	14	29	20b	
6	472	14	23	1	13	21a	
6	473	14	23	14	24	21b	
6	473	14	24	1	4	21b	
6	474	14	24	5	11	22a	
6	475	14	24	12	17	22b	
6	475	14	25	1	3	22b	
6	476	14	25	4	7	23a	
6	477	14	25	8	17	23b	
6	478	14	26	1	15	24a	
6	479	14	26	16	18	24b	
6	479	14	27	1	7	24b	
