<L>1515<pc>1-018-c<k1>aqa<k2>°aqa	{#°aqa#}
<L>42301<pc>2-260-c<k1>jalpitar<k2>°jalpitar	{#°jalpitar#}

<L>42302<pc>2-260-c<k1>jalpin<k2>°jalpin	{#°jalpin#}

<L>42492<pc>2-263-a<k1>jAtIya<k2>°jAtIya	{#°jAtIya#}

<L>42493<pc>2-263-a<k1>jAtIyaka<k2>°jAtIyaka	{#°jAtIyaka#}

<L>42567<pc>2-264-a<k1>jApin<k2>°jApin	{#°jApin#}

<L>42675<pc>2-265-b<k1>jAlakita<k2>°jAlakita	{#°jAlakita#}

<L>42730<pc>2-266-a<k1>jAha<k2>°jAha	{#°jAha#}

<L>42753<pc>2-267-a<k1>jiGAMsin<k2>°jiGAMsin	{#°jiGAMsin#}

<L>42775<pc>2-267-a<k1>jit<k2>°jit	{#°jit#}

<L>42912<pc>2-269-a<k1>jI<k2>°jI	{#°jI#}

<L>43451<pc>2-277-b<k1>jya<k2>°jya	{#°jya#}

<L>44508<pc>3-009-b<k1>tantratva<k2>°tantratva	{#°tantratva#}

<L>44960<pc>3-018-a<k1>tarpaka<k2>°tarpaka	{#°tarpaka#}

<L>45037<pc>3-019-a<k1>talpaga<k2>°talpaga	{#°talpaga#}

<L>45137<pc>3-020-a<k1>tARqavayitar<k2>°tARqavayitar	{#°tARqavayitar#}

<L>45188<pc>3-021-a<k1>tAnavakft<k2>°tAnavakft	{#°tAnavakft#}

<L>45214<pc>3-021-b<k1>tApada<k2>°tApada	{#°tApada#}

<L>45235<pc>3-021-c<k1>tApika<k2>°tApika	{#°tApika#}

<L>45832<pc>3-029-b<k1>tiraskfti<k2>°tiraskfti	{#°tiraskfti#}

<L>46422<pc>3-037-a<k1>tulADirohaRa<k2>°tulADirohaRa	{#°tulADirohaRa#}

<L>46440<pc>3-037-b<k1>tulyakakza<k2>°tulyakakza	{#°tulyakakza#}

<L>46871<pc>3-042-b<k1>tejasa<k2>°tejasa	{#°tejasa#}

<L>47135<pc>3-045-a<k1>tozayitar<k2>°tozayitar	{#°tozayitar#}

<L>47179<pc>3-045-b<k1>tta<k2>°tta	{#°tta#}

<L>47180<pc>3-045-b<k1>tti<k2>°tti	{#°tti#}

