<L>44<pc>1-001-b<k1>aMsay<k2>aMsay	!√{#aMsay#}
<L>19261<pc>1-235-b<k1>unap<k2>unap	!√{#unap#}

<L>19262<pc>1-235-b<k1>und<k2>und	√{#und#}

<L>19290<pc>1-235-c<k1>unnidray<k2>unnidray	!√{#unnidray#}

<L>19319<pc>1-236-a<k1>unmanay<k2>unmanay	!√{#unmanay#}

<L>19322<pc>1-236-a<k1>unmanAy<k2>unmanAy	!√{#unmanAy#}

<L>19361<pc>1-236-c<k1>unmUl<k2>unmUl	√{#unmUl#}

<L>20011<pc>1-244-c<k1>upavIRay<k2>upavIRay	!√{#upavIRay#}

<L>20441<pc>1-249-c<k1>upodbalay<k2>upodbalay	!√{#upodbalay#}

<L>20446<pc>1-249-c<k1>upozay<k2>upozay	!√{#upozay#}

<L>20456<pc>1-250-a<k1>ubj<k2>ubj	√{#ubj#}

<L>20459<pc>1-250-a<k1>uB<k2>uB	√{#uB#}

<L>20528<pc>1-251-a<k1>uBayAy<k2>uBayAy	!√{#uBayAy#}

<L>20672<pc>1-252-b<k1>uruzy<k2>uruzy	!√{#uruzy#}

<L>20775<pc>1-253-c<k1>ullAGay<k2>ullAGay	!√{#ullAGay#}

<L>20789<pc>1-253-c<k1>ulliNgay<k2>ulliNgay	!√{#ulliNgay#}

<L>20903<pc>1-255-b<k1>uzRay<k2>uzRay	!√{#uzRay#}

<L>20995<pc>1-256-b<k1>Unay<k2>Unay	!√{#Unay#}

<L>21035<pc>1-256-c<k1>Urjay<k2>Urjay	!√{#Urjay#}

<L>21065<pc>1-257-a<k1>UrRu<k2>UrRu	√{#UrRu#}

<L>21190<pc>1-258-c<k1>UrDvAy<k2>UrDvAy	!√{#UrDvAy#}

<L>21228<pc>1-259-a<k1>UzarAy<k2>UzarAy	!√{#UzarAy#}

<L>21332<pc>1-260-c<k1>fGAy<k2>fGAy	!√{#fGAy#}

<L>21389<pc>1-261-b<k1>fjUy<k2>fjUy	!√{#fjUy#}

<L>21464<pc>1-262-b<k1>ftay<k2>ftay	!√{#ftay#}

<L>21487<pc>1-262-c<k1>ftAy<k2>ftAy	!√{#ftAy#}

<L>21497<pc>1-262-c<k1>ftIy<k2>ftIy	!√{#ftIy#}

<L>22253<pc>1-272-b<k1>eD<k2>eD	√{#eD#}

<L>22355<pc>1-273-c<k1>ez<k2>ez	√{#ez#}

<L>22639<pc>1-276-c<k1>ojAy<k2>ojAy	!√{#ojAy#}

<L>22678<pc>1-277-b<k1>odanIy<k2>odanIy	!√{#odanIy#}

<L>23067<pc>1-281-b<k1>OrvAy<k2>OrvAy	!√{#OrvAy#}

<L>23379<pc>2-004-c<k1>kawakawAy<k2>kawakawAy	!√{#kawakawAy#}

<L>23520<pc>2-006-a<k1>kaww<k2>kaww	√{#kaww#}

<L>23550<pc>2-006-b<k1>kaWinay<k2>kaWinay	!√{#kaWinay#}

<L>23566<pc>2-006-c<k1>kaWoray<k2>kaWoray	!√{#kaWoray#}

<L>23614<pc>2-007-b<k1>kaRUkay<k2>kaRUkay	!√{#kaRUkay#}

<L>23745<pc>2-008-c<k1>kaRqUy<k2>kaRqUy	!√{#kaRqUy#}

<L>23804<pc>2-009-b<k1>katT<k2>katT	√{#katT#}

<L>23827<pc>2-010-a<k1>kaTay<k2>kaTay	!√{#kaTay#}

<L>23838<pc>2-010-a<k1>kaTApay<k2>kaTApay	!√{#kaTApay#}

<L>23888<pc>2-010-c<k1>kadarTay<k2>kadarTay	!√{#kadarTay#}

<L>23929<pc>2-011-b<k1>kan<k2>kan	√{#kan#}

<L>24070<pc>2-013-a<k1>kandalay<k2>kandalay	!√{#kandalay#}

<L>24095<pc>2-013-b<k1>kandukAy<k2>kandukAy	!√{#kandukAy#}

<L>24278<pc>2-015-b<k1>kapilAy<k2>kapilAy	!√{#kapilAy#}

<L>24297<pc>2-015-c<k1>kapiSay<k2>kapiSay	!√{#kapiSay#}

<L>24380<pc>2-016-c<k1>kaPoRiguqAy<k2>kaPoRiguqAy	!√{#kaPoRiguqAy#}

<L>24421<pc>2-017-b<k1>kamalabAlanAlAy<k2>kamalabAlanAlAy	!√{#kamalabAlanAlAy#}

<L>24467<pc>2-017-c<k1>kamp<k2>kamp	√{#kamp#}

<L>24473<pc>2-018-a<k1>kampAy<k2>kampAy	!√{#kampAy#}

<L>24546<pc>2-021-b<k1>karakAsAr<k2>karakAsAr	√{#karakAsAr#}

<L>24809<pc>2-024-b<k1>karuRAy<k2>karuRAy	!√{#karuRAy#}

<L>25148<pc>2-028-c<k1>karpUr<k2>karpUr	√{#karpUr#}

<L>25192<pc>2-029-a<k1>karmakArApay<k2>karmakArApay	!√{#karmakArApay#}

<L>25327<pc>2-030-c<k1>karS<k2>karS	√{#karS#}

<L>25366<pc>2-032-c<k1>kalaNkay<k2>kalaNkay	!√{#kalaNkay#}

<L>25437<pc>2-033-c<k1>kalah<k2>kalah	√{#kalah#}

<L>25450<pc>2-034-a<k1>kalahAy<k2>kalahAy	!√{#kalahAy#}

<L>25566<pc>2-035-b<k1>kaluzay<k2>kaluzay	!√{#kaluzay#}

<L>25568<pc>2-035-b<k1>kaluzAy<k2>kaluzAy	!√{#kaluzAy#}

<L>25585<pc>2-035-c<k1>kalp<k2>kalp	√{#kalp#}

<L>25628<pc>2-037-b<k1>kalpaSatAy<k2>kalpaSatAy	!√{#kalpaSatAy#}

<L>25639<pc>2-037-c<k1>kalpAy<k2>kalpAy	!√{#kalpAy#}

<L>25748<pc>2-039-a<k1>kavay<k2>kavay	!√{#kavay#}

<L>25759<pc>2-039-a<k1>kavalay<k2>kavalay	!√{#kavalay#}

<L>25825<pc>2-039-c<k1>kavIy<k2>kavIy	!√{#kavIy#}

<L>25876<pc>2-040-b<k1>kaz<k2>kaz	√{#kaz#}

<L>26137<pc>2-043-c<k1>kANkz<k2>kANkz	√{#kANkz#}

<L>26383<pc>2-046-c<k1>kAntAy<k2>kAntAy	!√{#kAntAy#}

<L>26693<pc>2-050-b<k1>kAmukAy<k2>kAmukAy	!√{#kAmukAy#}

<L>26734<pc>2-051-a<k1>kAy<k2>kAy	!√{#kAy#}

<L>26970<pc>2-054-a<k1>kArmukAy<k2>kArmukAy	!√{#kArmukAy#}

<L>27513<pc>2-061-a<k1>kAS<k2>kAS	√{#kAS#}

<L>27771<pc>2-064-b<k1>kiMkar<k2>kiMkar	√{#kiMkar#}

<L>27776<pc>2-064-b<k1>kiMkarIy<k2>kiMkarIy	!√{#kiMkarIy#}

<L>27819<pc>2-064-c<k1>kiwakiwApay<k2>kiwakiwApay	!√{#kiwakiwApay#}

<L>27839<pc>2-065-a<k1>kit<k2>kit	√{#kit#}

<L>27965<pc>2-067-a<k1>kilakilAy<k2>kilakilAy	!√{#kilakilAy#}

<L>27978<pc>2-067-a<k1>kilikilay<k2>kilikilay	!√{#kilikilay#}

<L>27979<pc>2-067-a<k1>kilikilAy<k2>kilikilAy	!√{#kilikilAy#}

<L>28008<pc>2-067-b<k1>kisalay<k2>kisalay	!√{#kisalay#}

<L>28059<pc>2-068-a<k1>kIrtay<k2>kIrtay	!√{#kIrtay#}

<L>28255<pc>2-070-c<k1>kuYj<k2>kuYj	√{#kuYj#}

<L>28344<pc>2-071-c<k1>kuww<k2>kuww	√{#kuww#}

<L>28399<pc>2-072-b<k1>kuqmalAy<k2>kuqmalAy	!√{#kuqmalAy#}

<L>28538<pc>2-074-b<k1>kuts<k2>kuts	√{#kuts#}

<L>28543<pc>2-074-b<k1>kutsay<k2>kutsay	!√{#kutsay#}

<L>28552<pc>2-074-c<k1>kutsy<k2>kutsy	!√{#kutsy#}

<L>28555<pc>2-074-c<k1>kuT<k2>kuT	√{#kuT#}

<L>28892<pc>2-078-c<k1>kumBakarRAy<k2>kumBakarRAy	!√{#kumBakarRAy#}

<L>28921<pc>2-079-a<k1>kumBay<k2>kumBay	!√{#kumBay#}

<L>28984<pc>2-079-c<k1>kuraNgAy<k2>kuraNgAy	!√{#kuraNgAy#}

<L>29018<pc>2-080-a<k1>kurukurAy<k2>kurukurAy	!√{#kurukurAy#}

<L>29247<pc>2-082-c<k1>kulAyay<k2>kulAyay	!√{#kulAyay#}

<L>29283<pc>2-083-a<k1>kuliSAy<k2>kuliSAy	!√{#kuliSAy#}

<L>29331<pc>2-083-c<k1>kulyAy<k2>kulyAy	!√{#kulyAy#}

<L>29491<pc>2-085-b<k1>kuz<k2>kuz	√{#kuz#}

<L>29566<pc>2-086-b<k1>kusumay<k2>kusumay	!√{#kusumay#}

<L>29648<pc>2-087-a<k1>kuhukuhAy<k2>kuhukuhAy	!√{#kuhukuhAy#}

<L>29676<pc>2-087-b<k1>kUj<k2>kUj	√{#kUj#}

<L>29738<pc>2-088-b<k1>kUR<k2>kUR	√{#kUR#}

<L>29769<pc>2-088-c<k1>kUpAy<k2>kUpAy	!√{#kUpAy#}

<L>29794<pc>2-089-a<k1>kUrd<k2>kUrd	√{#kUrd#}

<L>29897<pc>2-090-b<k1>kfcCrAy<k2>kfcCrAy	!√{#kfcCrAy#}

<L>30053<pc>2-092-b<k1>kftArTay<k2>kftArTay	!√{#kftArTay#}

<L>30164<pc>2-093-c<k1>kfpaRy<k2>kfpaRy	!√{#kfpaRy#}

<L>30167<pc>2-093-c<k1>kfpay<k2>kfpay	!√{#kfpay#}

<L>30179<pc>2-093-c<k1>kfpAy<k2>kfpAy	!√{#kfpAy#}

<L>30461<pc>2-096-c<k1>kfzRarAmAy<k2>kfzRarAmAy	!√{#kfzRarAmAy#}

<L>30547<pc>2-097-c<k1>kfzRAy<k2>kfzRAy	!√{#kfzRAy#}

<L>30587<pc>2-098-a<k1>kekAy<k2>kekAy	!√{#kekAy#}

<L>30600<pc>2-098-a<k1>ketay<k2>ketay	!√{#ketay#}

<L>30667<pc>2-099-a<k1>keyUrAy<k2>keyUrAy	!√{#keyUrAy#}

