<L>16<pc>1-001-a<k1>aMSay<k2>*aMSay	*!√{#aMSay#}
<L>81344<pc>4-290-c<k1>Blez<k2>*Blez	*√{#Blez#}

<L>81412<pc>5-002-a<k1>makk<k2>*makk	*√{#makk#}

<L>81431<pc>5-002-a<k1>maK<k2>*maK	*√{#maK#}

<L>81464<pc>5-002-b<k1>magaDy<k2>*magaDy	*!√{#magaDy#}

<L>81485<pc>5-002-c<k1>maNk<k2>*maNk	*√{#maNk#}

<L>81495<pc>5-002-c<k1>maNK<k2>*maNK	*√{#maNK#}

<L>81501<pc>5-003-a<k1>maNg<k2>*maNg	*√{#maNg#}

<L>81581<pc>5-004-a<k1>maNG<k2>*maNG	*√{#maNG#}

<L>81582<pc>5-004-a<k1>mac<k2>*mac	*√{#mac#}

<L>81633<pc>5-005-a<k1>maYj<k2>*maYj	*√{#maYj#}

<L>81689<pc>5-005-c<k1>mawAmawAy<k2>*mawAmawAy	*!√{#mawAmawAy#}

<L>81695<pc>5-005-c<k1>maW<k2>*maW	*√{#maW#}

<L>81712<pc>5-005-c<k1>maR<k2>*maR	*√{#maR#}

<L>82087<pc>5-011-b<k1>maTIn<k2>*maTIn	*√{#maTIn#}

<L>82273<pc>5-014-b<k1>mady<k2>*mady	*!√{#mady#}

<L>82307<pc>5-014-c<k1>madrAy<k2>*madrAy	*!√{#madrAy#}

<L>82310<pc>5-014-c<k1>madrikAy<k2>*madrikAy	*!√{#madrikAy#}

<L>82578<pc>5-018-a<k1>maDusy<k2>*maDusy	*!√{#maDusy#}

<L>82597<pc>5-018-b<k1>maDUy<k2>*maDUy	*!√{#maDUy#}

<L>82753<pc>5-020-b<k1>maDvasy<k2>*maDvasy	*!√{#maDvasy#}

<L>83062<pc>5-025-c<k1>mantUy<k2>*mantUy	*!√{#mantUy#}

<L>83371<pc>5-030-a<k1>mandray<k2>*mandray	*!√{#mandray#}

<L>83422<pc>5-030-c<k1>maBr<k2>*maBr	*√{#maBr#}

<L>83435<pc>5-031-a<k1>mamb<k2>*mamb	*√{#mamb#}

<L>83441<pc>5-031-a<k1>may<k2>*may	*!√{#may#}

<L>83644<pc>5-033-c<k1>mark<k2>*mark	*√{#mark#}

<L>83702<pc>5-035-c<k1>marb<k2>*marb	*√{#marb#}

<L>83762<pc>5-036-b<k1>marv<k2>*marv	*√{#marv#}

<L>83772<pc>5-037-a<k1>mal<k2>*mal	*√{#mal#}

<L>83886<pc>5-038-b<k1>mall<k2>*mall	*√{#mall#}

<L>83957<pc>5-039-b<k1>mavy<k2>*mavy	*!√{#mavy#}

<L>83958<pc>5-039-b<k1>maS<k2>*maS	*√{#maS#}

<L>83972<pc>5-039-b<k1>maz<k2>*maz	*√{#maz#}

<L>83991<pc>5-039-c<k1>mazk<k2>*mazk	*√{#mazk#}

<L>84022<pc>5-040-a<k1>mask<k2>*mask	*√{#mask#}

<L>84569<pc>5-046-c<k1>mahAputrIy<k2>*mahAputrIy	*!√{#mahAputrIy#}

<L>85678<pc>5-061-b<k1>mANkz<k2>*mANkz	*√{#mANkz#}

<L>85716<pc>5-062-a<k1>mAq<k2>*mAq	*√{#mAq#}

<L>85785<pc>5-063-a<k1>mAtay<k2>*mAtay	*!√{#mAtay#}

<L>86061<pc>5-067-a<k1>mAn<k2>*mAn	*√{#mAn#}

<L>86212<pc>5-069-b<k1>mAnT<k2>*mAnT	*√{#mAnT#}

<L>86447<pc>5-072-b<k1>mArj<k2>*mArj	*√{#mArj#}

<L>86577<pc>5-074-c<k1>mAlIy<k2>*mAlIy	*!√{#mAlIy#}

<L>86686<pc>5-076-a<k1>mAh<k2>*mAh	*√{#mAh#}

<L>86757<pc>5-077-a<k1>miC<k2>*miC	*√{#miC#}

<L>86758<pc>5-077-a<k1>miYj<k2>*miYj	*√{#miYj#}

<L>86902<pc>5-079-a<k1>miTunAy<k2>*miTunAy	*!√{#miTunAy#}

<L>86979<pc>5-080-a<k1>mind<k2>*mind	*√{#mind#}

<L>86983<pc>5-080-a<k1>minv<k2>*minv	*√{#minv#}

<L>87008<pc>5-080-b<k1>miS<k2>*miS	*√{#miS#}

<L>87055<pc>5-081-b<k1>mis<k2>*mis	*√{#mis#}

<L>87435<pc>5-088-a<k1>muC<k2>*muC	*√{#muC#}

<L>87475<pc>5-088-c<k1>muq<k2>*muq	*√{#muq#}

<L>87476<pc>5-088-c<k1>muR<k2>*muR	*√{#muR#}

<L>87477<pc>5-088-c<k1>muRw<k2>*muRw	*√{#muRw#}

<L>87478<pc>5-088-c<k1>muRW<k2>*muRW	*√{#muRW#}

<L>87479<pc>5-088-c<k1>muRq<k2>*muRq	*√{#muRq#}

<L>87682<pc>5-091-b<k1>murmurIy<k2>*murmurIy	*!√{#murmurIy#}

<L>87683<pc>5-091-c<k1>murv<k2>*murv	*√{#murv#}

<L>87685<pc>5-091-c<k1>mul<k2>*mul	*√{#mul#}

<L>87742<pc>5-092-b<k1>mus<k2>*mus	*√{#mus#}

<L>87755<pc>5-092-b<k1>must<k2>*must	*√{#must#}

<L>87932<pc>5-095-c<k1>mUl<k2>*mUl	*√{#mUl#}

<L>88704<pc>5-105-a<k1>mew<k2>*mew	*√{#mew#}

<L>88709<pc>5-105-a<k1>meq<k2>*meq	*√{#meq#}

<L>88788<pc>5-106-a<k1>meDAy<k2>*meDAy	*!√{#meDAy#}

<L>88818<pc>5-106-b<k1>mep<k2>*mep	*√{#mep#}

<L>88819<pc>5-106-b<k1>meb<k2>*meb	*√{#meb#}

<L>88872<pc>5-107-a<k1>mev<k2>*mev	*√{#mev#}

<L>89276<pc>5-113-a<k1>mruYc<k2>*mruYc	*√{#mruYc#}

<L>89277<pc>5-113-a<k1>mrew<k2>*mrew	*√{#mrew#}

<L>89282<pc>5-113-a<k1>mlakz<k2>*mlakz	*√{#mlakz#}

<L>89297<pc>5-113-b<k1>mluYc<k2>*mluYc	*√{#mluYc#}

<L>89313<pc>5-113-c<k1>mlev<k2>*mlev	*√{#mlev#}

<L>89428<pc>5-116-a<k1>yajuzkAmy<k2>*yajuzkAmy	*!√{#yajuzkAmy#}

<L>90462<pc>5-132-b<k1>yavamaty<k2>*yavamaty	*!√{#yavamaty#}

<L>90470<pc>5-132-b<k1>yavay<k2>*yavay	*!√{#yavay#}

<L>91088<pc>5-144-a<k1>yuNg<k2>*yuNg	*√{#yuNg#}

<L>91163<pc>5-148-a<k1>yunT<k2>*yunT	*√{#yunT#}

<L>91295<pc>5-149-c<k1>yUz<k2>*yUz	*√{#yUz#}

<L>91628<pc>5-154-c<k1>rak<k2>*rak	*√{#rak#}

<L>91807<pc>5-157-a<k1>raktasUryAy<k2>*raktasUryAy	*!√{#raktasUryAy#}

<L>91931<pc>5-158-c<k1>raK<k2>*raK	*√{#raK#}

<L>91932<pc>5-158-c<k1>rag<k2>*rag	*√{#rag#}

<L>91933<pc>5-158-c<k1>raG<k2>*raG	*√{#raG#}

<L>91979<pc>5-159-b<k1>raNK<k2>*raNK	*√{#raNK#}

<L>92105<pc>5-161-b<k1>rajasay<k2>*rajasay	*!√{#rajasay#}

<L>92112<pc>5-161-c<k1>rajasy<k2>*rajasy	*!√{#rajasy#}

<L>92173<pc>5-162-b<k1>raW<k2>*raW	*√{#raW#}

<L>92755<pc>5-171-a<k1>ramP<k2>*ramP	*√{#ramP#}

<L>92783<pc>5-171-b<k1>ray<k2>*ray	*!√{#ray#}

<L>92809<pc>5-171-c<k1>rarP<k2>*rarP	*√{#rarP#}

<L>93132<pc>5-176-a<k1>rahAy<k2>*rahAy	*!√{#rahAy#}

<L>93170<pc>5-176-c<k1>rAK<k2>*rAK	*√{#rAK#}

<L>93217<pc>5-177-b<k1>rAG<k2>*rAG	*√{#rAG#}

<L>93606<pc>5-182-a<k1>rAjAn<k2>*rAjAn	*√{#rAjAn#}

<L>93642<pc>5-182-b<k1>rAjIy<k2>*rAjIy	*!√{#rAjIy#}

<L>94208<pc>5-190-a<k1>rij<k2>*rij	*√{#rij#}

<L>94212<pc>5-190-b<k1>riRv<k2>*riRv	*√{#riRv#}

<L>94234<pc>5-190-c<k1>rimP<k2>*rimP	*√{#rimP#}

<L>94236<pc>5-190-c<k1>rimb<k2>*rimb	*√{#rimb#}

<L>94237<pc>5-190-c<k1>riy<k2>*riy	*!√{#riy#}

<L>94267<pc>5-191-a<k1>rizwIy<k2>*rizwIy	*!√{#rizwIy#}

<L>94290<pc>5-191-b<k1>rIv<k2>*rIv	*√{#rIv#}

<L>94295<pc>5-191-c<k1>ruMS<k2>*ruMS	*√{#ruMS#}

<L>94405<pc>5-193-c<k1>ruw<k2>*ruw	*√{#ruw#}

<L>94408<pc>5-194-a<k1>ruRw<k2>*ruRw	*√{#ruRw#}

<L>94409<pc>5-194-a<k1>ruRW<k2>*ruRW	*√{#ruRW#}

<L>94410<pc>5-194-a<k1>ruRq<k2>*ruRq	*√{#ruRq#}

<L>94741<pc>5-201-b<k1>rek<k2>*rek	*√{#rek#}

<L>94752<pc>5-201-c<k1>reKAy<k2>*reKAy	*!√{#reKAy#}

<L>94767<pc>5-202-a<k1>rew<k2>*rew	*√{#rew#}

<L>94817<pc>5-202-c<k1>rep<k2>*rep	*√{#rep#}

<L>94826<pc>5-202-c<k1>reB<k2>*reB	*√{#reB#}

<L>94837<pc>5-202-c<k1>rev<k2>*rev	*√{#rev#}

<L>94876<pc>5-203-b<k1>rehAy<k2>*rehAy	*!√{#rehAy#}

<L>94888<pc>5-203-b<k1>rEy<k2>*rEy	*!√{#rEy#}

<L>94971<pc>5-204-c<k1>roq<k2>*roq	*√{#roq#}

<L>95129<pc>5-206-c<k1>rohAy<k2>*rohAy	*!√{#rohAy#}

<L>95264<pc>5-208-c<k1>lak<k2>*lak	*√{#lak#}

<L>95411<pc>5-211-c<k1>laK<k2>*laK	*√{#laK#}

<L>95593<pc>5-214-b<k1>laNK<k2>*laNK	*√{#laNK#}

<L>95594<pc>5-214-b<k1>laNg<k2>*laNg	*√{#laNg#}

<L>95610<pc>5-215-a<k1>laC<k2>*laC	*√{#laC#}

<L>95636<pc>5-215-b<k1>laYjApay<k2>*laYjApay	*!√{#laYjApay#}

<L>95649<pc>5-215-c<k1>lawy<k2>*lawy	*!√{#lawy#}

<L>95662<pc>5-215-c<k1>laRq<k2>*laRq	*√{#laRq#}

<L>95790<pc>5-219-b<k1>lamB<k2>*lamB	*√{#lamB#}

<L>95797<pc>5-219-b<k1>lay<k2>*lay	*!√{#lay#}

<L>95808<pc>5-219-c<k1>larb<k2>*larb	*√{#larb#}

<L>95913<pc>5-221-b<k1>lavaRasy<k2>*lavaRasy	*!√{#lavaRasy#}

<L>95926<pc>5-221-b<k1>lavaRIy<k2>*lavaRIy	*!√{#lavaRIy#}

<L>95938<pc>5-221-b<k1>lavay<k2>*lavay	*!√{#lavay#}

<L>95951<pc>5-221-c<k1>laS<k2>*laS	*√{#laS#}

<L>96003<pc>5-222-c<k1>lAK<k2>*lAK	*√{#lAK#}

<L>96006<pc>5-222-c<k1>lAG<k2>*lAG	*√{#lAG#}

<L>96037<pc>5-223-a<k1>lAj<k2>*lAj	*√{#lAj#}

<L>96046<pc>5-223-b<k1>lAYj<k2>*lAYj	*√{#lAYj#}

<L>96053<pc>5-223-b<k1>lAwy<k2>*lAwy	*!√{#lAwy#}

<L>96055<pc>5-223-b<k1>lAq<k2>*lAq	*√{#lAq#}

<L>96081<pc>5-223-c<k1>lAB<k2>*lAB	*√{#lAB#}

<L>96249<pc>5-226-b<k1>liwy<k2>*liwy	*!√{#liwy#}

<L>96295<pc>5-228-b<k1>lInay<k2>*lInay	*!√{#lInay#}

<L>96349<pc>5-229-a<k1>luYj<k2>*luYj	*√{#luYj#}

<L>96371<pc>5-230-a<k1>luRq<k2>*luRq	*√{#luRq#}

<L>96375<pc>5-230-a<k1>lunT<k2>*lunT	*√{#lunT#}

<L>96392<pc>5-230-c<k1>lumb<k2>*lumb	*√{#lumb#}

<L>96405<pc>5-231-a<k1>luz<k2>*luz	*√{#luz#}

<L>96407<pc>5-231-a<k1>luh<k2>*luh	*√{#luh#}

<L>96422<pc>5-231-b<k1>lUnIy<k2>*lUnIy	*!√{#lUnIy#}

<L>96426<pc>5-231-b<k1>lUz<k2>*lUz	*√{#lUz#}

<L>96453<pc>5-231-c<k1>leKAy<k2>*leKAy	*!√{#leKAy#}

<L>96460<pc>5-232-a<k1>leKy<k2>*leKy	*!√{#leKy#}

<L>96470<pc>5-232-a<k1>lewy<k2>*lewy	*!√{#lewy#}

<L>96474<pc>5-232-a<k1>lep<k2>*lep	*√{#lep#}

<L>96523<pc>5-232-c<k1>lER<k2>*lER	*√{#lER#}

<L>96745<pc>5-236-a<k1>loq<k2>*loq	*√{#loq#}

<L>96838<pc>5-237-b<k1>lorAy<k2>*lorAy	*!√{#lorAy#}

<L>96860<pc>5-237-c<k1>lozw<k2>*lozw	*√{#lozw#}

<L>97039<pc>5-239-c<k1>lOq<k2>*lOq	*√{#lOq#}

<L>97085<pc>5-240-b<k1>lpI<k2>*lpI	*√{#lpI#}

<L>97087<pc>5-240-b<k1>lyI<k2>*lyI	*√{#lyI#}

<L>97088<pc>5-240-b<k1>lvI<k2>*lvI	*√{#lvI#}

<L>97184<pc>6-002-b<k1>vakk<k2>*vakk	*√{#vakk#}

<L>97312<pc>6-004-a<k1>vaK<k2>*vaK	*√{#vaK#}

<L>97320<pc>6-004-a<k1>vaNk<k2>*vaNk	*√{#vaNk#}

<L>97335<pc>6-004-b<k1>vaNK<k2>*vaNK	*√{#vaNK#}

<L>97337<pc>6-004-b<k1>vaNg<k2>*vaNg	*√{#vaNg#}

<L>97406<pc>6-006-a<k1>vaj<k2>*vaj	*√{#vaj#}

<L>97637<pc>6-009-a<k1>vaww<k2>*vaww	*√{#vaww#}

<L>97642<pc>6-009-a<k1>vaW<k2>*vaW	*√{#vaW#}

<L>97667<pc>6-009-b<k1>vaqQ<k2>*vaqQ	*√{#vaqQ#}

<L>97699<pc>6-009-c<k1>vaRwApay<k2>*vaRwApay	*!√{#vaRwApay#}

<L>97701<pc>6-009-c<k1>vaRW<k2>*vaRW	*√{#vaRW#}

<L>97705<pc>6-009-c<k1>vaRq<k2>*vaRq	*√{#vaRq#}

<L>98129<pc>6-016-b<k1>vanIy<k2>*vanIy	*!√{#vanIy#}

<L>98267<pc>6-019-a<k1>vaBra<k2>*vaBra	*√{#vaBra#}

<L>98287<pc>6-019-b<k1>vay<k2>*vay	*!√{#vay#}

<L>98632<pc>6-025-c<k1>vareRyay<k2>*vareRyay	*!√{#vareRyay#}

<L>98644<pc>6-026-a<k1>vark<k2>*vark	*√{#vark#}

<L>98648<pc>6-026-a<k1>varkz<k2>*varkz	*√{#varkz#}

<L>98681<pc>6-026-b<k1>varcAy<k2>*varcAy	*!√{#varcAy#}

<L>98923<pc>6-037-a<k1>varP<k2>*varP	*√{#varP#}

<L>98937<pc>6-037-a<k1>varmAy<k2>*varmAy	*!√{#varmAy#}

<L>98953<pc>6-037-b<k1>varS<k2>*varS	*√{#varS#}

<L>99115<pc>6-039-c<k1>valk<k2>*valk	*√{#valk#}

<L>99163<pc>6-040-b<k1>vall<k2>*vall	*√{#vall#}

<L>99284<pc>6-042-b<k1>vaz<k2>*vaz	*√{#vaz#}

<L>99295<pc>6-042-c<k1>vazk<k2>*vazk	*√{#vazk#}

<L>99560<pc>6-047-c<k1>vask<k2>*vask	*√{#vask#}

<L>99971<pc>6-054-c<k1>vANkz<k2>*vANkz	*√{#vANkz#}

<L>100038<pc>6-055-c<k1>vAcy<k2>*vAcy	*!√{#vAcy#}

<L>100315<pc>6-059-b<k1>vAtay<k2>*vAtay	*!√{#vAtay#}

<L>101823<pc>6-080-a<k1>viklav<k2>*viklav	*√{#viklav#}

<L>102099<pc>6-084-b<k1>viC<k2>*viC	*√{#viC#}

<L>102319<pc>6-087-b<k1>viw<k2>*viw	*√{#viw#}

<L>102353<pc>6-087-c<k1>viq<k2>*viq	*√{#viq#}

<L>102384<pc>6-088-b<k1>viRw<k2>*viRw	*√{#viRw#}

<L>102458<pc>6-089-b<k1>vitUstay<k2>*vitUstay	*!√{#vitUstay#}

<L>102490<pc>6-089-c<k1>vittay<k2>*vittay	*!√{#vittay#}

<L>102518<pc>6-090-a<k1>viT<k2>*viT	*√{#viT#}

<L>103025<pc>6-098-c<k1>vinay<k2>*vinay	*!√{#vinay#}

<L>103379<pc>6-103-b<k1>vipucCay<k2>*vipucCay	*!√{#vipucCay#}

<L>104152<pc>6-115-a<k1>vil<k2>*vil	*√{#vil#}

<L>104240<pc>6-116-b<k1>vilInay<k2>*vilInay	*!√{#vilInay#}

<L>105379<pc>6-135-b<k1>vizk<k2>*vizk	*√{#vizk#}

<L>105563<pc>6-137-c<k1>vizRUy<k2>*vizRUy	*!√{#vizRUy#}

<L>106358<pc>6-148-b<k1>vfR<k2>*vfR	*√{#vfR#}

<L>106474<pc>6-150-a<k1>vftrahAy<k2>*vftrahAy	*!√{#vftrahAy#}

<L>106814<pc>6-154-c<k1>vfzIy<k2>*vfzIy	*!√{#vfzIy#}

<L>106861<pc>6-155-a<k1>vekz<k2>*vekz	*√{#vekz#}

<L>106921<pc>6-156-a<k1>vewAy<k2>*vewAy	*!√{#vewAy#}

<L>106924<pc>6-156-a<k1>vewy<k2>*vewy	*!√{#vewy#}

<L>106927<pc>6-156-a<k1>veR<k2>*veR	*√{#veR#}

<L>107038<pc>6-157-b<k1>veT<k2>*veT	*√{#veT#}

<L>107215<pc>6-159-c<k1>vedApay<k2>*vedApay	*!√{#vedApay#}

<L>107277<pc>6-160-c<k1>vedy<k2>*vedy	*!√{#vedy#}

<L>107331<pc>6-161-b<k1>vel<k2>*vel	*√{#vel#}

<L>107333<pc>6-161-c<k1>velay<k2>*velay	*!√{#velay#}

<L>107346<pc>6-161-c<k1>velAy<k2>*velAy	*!√{#velAy#}

<L>107369<pc>6-162-a<k1>vevI<k2>*vevI	*√{#vevI#}

<L>107464<pc>6-163-c<k1>ves<k2>*ves	*√{#ves#}

<L>107468<pc>6-163-c<k1>veh<k2>*veh	*√{#veh#}

<L>107471<pc>6-163-c<k1>vehAy<k2>*vehAy	*!√{#vehAy#}

<L>107473<pc>6-163-c<k1>vehl<k2>*vehl	*√{#vehl#}

<L>108348<pc>6-177-a<k1>vyap<k2>*vyap	*√{#vyap#}

<L>109145<pc>6-189-c<k1>vrI<k2>*vrI	*√{#vrI#}

<L>109151<pc>6-189-c<k1>vrIs<k2>*vrIs	*√{#vrIs#}

<L>109183<pc>6-190-a<k1>vlekz<k2>*vlekz	*√{#vlekz#}

<L>109662<pc>6-197-b<k1>Sac<k2>*Sac	*√{#Sac#}

<L>109673<pc>6-197-c<k1>SaYc<k2>*SaYc	*√{#SaYc#}

<L>109674<pc>6-197-c<k1>Saw<k2>*Saw	*√{#Saw#}

<L>109687<pc>6-197-c<k1>SaR<k2>*SaR	*√{#SaR#}

<L>109711<pc>6-198-a<k1>SaRq<k2>*SaRq	*√{#SaRq#}

<L>110387<pc>6-207-c<k1>Samb<k2>*Samb	*√{#Samb#}

<L>110790<pc>6-213-a<k1>Sarb<k2>*Sarb	*√{#Sarb#}

<L>110812<pc>6-213-b<k1>Sarv<k2>*Sarv	*√{#Sarv#}

<L>110881<pc>6-214-b<k1>SalB<k2>*SalB	*√{#SalB#}

<L>111056<pc>6-216-b<k1>SaSv<k2>*SaSv	*√{#SaSv#}

<L>111061<pc>6-216-b<k1>SaSvAy<k2>*SaSvAy	*!√{#SaSvAy#}

<L>111062<pc>6-216-c<k1>Saz<k2>*Saz	*√{#Saz#}

<L>111318<pc>6-219-c<k1>SAK<k2>*SAK	*√{#SAK#}

<L>111396<pc>6-220-c<k1>SAq<k2>*SAq	*√{#SAq#}

<L>111487<pc>6-221-c<k1>SAn<k2>*SAn	*√{#SAn#}

<L>112175<pc>6-232-a<k1>SiNK<k2>*SiNK	*√{#SiNK#}

<L>112192<pc>6-232-b<k1>Siw<k2>*Siw	*√{#Siw#}

<L>112352<pc>6-234-b<k1>Sirasy<k2>*Sirasy	*!√{#Sirasy#}

<L>112425<pc>6-235-a<k1>Sil<k2>*Sil	*√{#Sil#}

<L>112752<pc>6-239-a<k1>SivIy<k2>*SivIy	*!√{#SivIy#}

<L>113045<pc>6-243-c<k1>SIB<k2>*SIB	*√{#SIB#}

<L>113165<pc>6-245-b<k1>Suk<k2>*Suk	*√{#Suk#}

<L>113387<pc>6-248-c<k1>SucivarcAy<k2>*SucivarcAy	*!√{#SucivarcAy#}

<L>113402<pc>6-248-c<k1>SucIy<k2>*SucIy	*!√{#SucIy#}

<L>113404<pc>6-248-c<k1>Sucy<k2>*Sucy	*!√{#Sucy#}

<L>113409<pc>6-248-c<k1>SuW<k2>*SuW	*√{#SuW#}

<L>113411<pc>6-248-c<k1>SuRW<k2>*SuRW	*√{#SuRW#}

<L>113417<pc>6-249-a<k1>SuRq<k2>*SuRq	*√{#SuRq#}

<L>113515<pc>6-250-c<k1>Sun<k2>*Sun	*√{#Sun#}

<L>113672<pc>6-253-a<k1>Sulkay<k2>*Sulkay	*!√{#Sulkay#}

<L>113678<pc>6-253-a<k1>Sulbay<k2>*Sulbay	*!√{#Sulbay#}

<L>113860<pc>6-255-c<k1>SUray<k2>*SUray	*!√{#SUray#}

<L>113890<pc>6-256-a<k1>SUrpay<k2>*SUrpay	*!√{#SUrpay#}

<L>113946<pc>6-256-c<k1>SUz<k2>*SUz	*√{#SUz#}

<L>114078<pc>6-258-b<k1>Sel<k2>*Sel	*√{#Sel#}

<L>114080<pc>6-258-b<k1>SelAy<k2>*SelAy	*!√{#SelAy#}

<L>114516<pc>6-263-c<k1>SOw<k2>*SOw	*√{#SOw#}

<L>114521<pc>6-264-a<k1>SOq<k2>*SOq	*√{#SOq#}

<L>114669<pc>6-265-c<k1>SmIl<k2>*SmIl	*√{#SmIl#}

<L>114758<pc>6-267-a<k1>Syetay<k2>*Syetay	*!√{#Syetay#}

<L>114800<pc>6-267-b<k1>SraNk<k2>*SraNk	*√{#SraNk#}

<L>114968<pc>6-270-b<k1>SrAm<k2>*SrAm	*√{#SrAm#}

<L>115511<pc>6-280-a<k1>SroR<k2>*SroR	*√{#SroR#}

<L>115605<pc>6-281-a<k1>SlaNk<k2>*SlaNk	*√{#SlaNk#}

<L>115606<pc>6-281-a<k1>SlaNg<k2>*SlaNg	*√{#SlaNg#}

<L>115620<pc>6-281-b<k1>SlAK<k2>*SlAK	*√{#SlAK#}

<L>115678<pc>6-282-c<k1>Slok<k2>*Slok	*√{#Slok#}

<L>115714<pc>6-283-a<k1>SvaNk<k2>*SvaNk	*√{#SvaNk#}

<L>115715<pc>6-283-a<k1>SvaNg<k2>*SvaNg	*√{#SvaNg#}

<L>115716<pc>6-283-a<k1>Svac<k2>*Svac	*√{#Svac#}

<L>115721<pc>6-283-a<k1>Svaj<k2>*Svaj	*√{#Svaj#}

<L>115727<pc>6-283-a<k1>SvaYj<k2>*SvaYj	*√{#SvaYj#}

<L>115728<pc>6-283-a<k1>SvaW<k2>*SvaW	*√{#SvaW#}

<L>115730<pc>6-283-a<k1>SvaRW<k2>*SvaRW	*√{#SvaRW#}

<L>115764<pc>6-283-b<k1>SvaBray<k2>*SvaBray	*!√{#SvaBray#}

<L>115776<pc>6-283-c<k1>Svart<k2>*Svart	*√{#Svart#}

<L>115780<pc>6-283-c<k1>Svalk<k2>*Svalk	*√{#Svalk#}

<L>115781<pc>6-283-c<k1>Svall<k2>*Svall	*√{#Svall#}

<L>115828<pc>6-284-c<k1>SvAtr<k2>*SvAtr	*√{#SvAtr#}

<L>115991<pc>6-286-c<k1>Svetay<k2>*Svetay	*!√{#Svetay#}

<L>116312<pc>6-290-b<k1>zaRqIy<k2>*zaRqIy	*!√{#zaRqIy#}

<L>116321<pc>6-290-c<k1>zaRQIy<k2>*zaRQIy	*!√{#zaRQIy#}

<L>116343<pc>6-290-c<k1>zazk<k2>*zazk	*√{#zazk#}

<L>116430<pc>6-292-a<k1>zukk<k2>*zukk	*√{#zukk#}

<L>116483<pc>6-292-b<k1>zoqIy<k2>*zoqIy	*!√{#zoqIy#}

<L>116495<pc>6-292-c<k1>zvakk<k2>*zvakk	*√{#zvakk#}

<L>116688<pc>7-004-b<k1>saMvary<k2>*saMvary	*!√{#saMvary#}

<L>116874<pc>7-007-a<k1>saMScAy<k2>*saMScAy	*!√{#saMScAy#}

<L>117331<pc>7-014-b<k1>saK<k2>*saK	*√{#saK#}

<L>117351<pc>7-014-c<k1>sag<k2>*sag	*√{#sag#}

<L>117665<pc>7-020-b<k1>saMgrAmay<k2>*saMgrAmay	*!√{#saMgrAmay#}

<L>117989<pc>7-026-c<k1>saw<k2>*saw	*√{#saw#}

<L>117994<pc>7-026-c<k1>saww<k2>*saww	*√{#saww#}

<L>118126<pc>7-028-a<k1>sattray<k2>*sattray	*!√{#sattray#}

<L>118136<pc>7-028-a<k1>sattrApay<k2>*sattrApay	*!√{#sattrApay#}

<L>118137<pc>7-028-a<k1>sattrAy<k2>*sattrAy	*!√{#sattrAy#}

<L>119342<pc>7-047-b<k1>sapiRqay<k2>*sapiRqay	*!√{#sapiRqay#}

<L>119960<pc>7-055-b<k1>samay<k2>*samay	*!√{#samay#}

<L>121093<pc>7-071-c<k1>samb<k2>*samb	*√{#samb#}

<L>121112<pc>7-072-a<k1>sambary<k2>*sambary	*!√{#sambary#}

<L>121178<pc>7-073-b<k1>saMBUyasy<k2>*saMBUyasy	*!√{#saMBUyasy#}

<L>121328<pc>7-075-b<k1>say<k2>*say	*!√{#say#}

<L>121657<pc>7-084-a<k1>sarpizkAmy<k2>*sarpizkAmy	*!√{#sarpizkAmy#}

<L>121673<pc>7-084-b<k1>sarb<k2>*sarb	*√{#sarb#}

<L>121674<pc>7-084-b<k1>sarB<k2>*sarB	*√{#sarB#}

<L>121695<pc>7-084-c<k1>sarvakAmy<k2>*sarvakAmy	*!√{#sarvakAmy#}

<L>122365<pc>7-092-c<k1>sal<k2>*sal	*√{#sal#}

<L>123450<pc>7-107-c<k1>sAkz<k2>*sAkz	*√{#sAkz#}

<L>123627<pc>7-110-a<k1>sAway<k2>*sAway	*!√{#sAway#}

<L>124088<pc>7-117-a<k1>sAmay<k2>*sAmay	*!√{#sAmay#}

<L>124229<pc>7-119-a<k1>sAmb<k2>*sAmb	*√{#sAmb#}

<L>124416<pc>7-121-c<k1>sAray<k2>*sAray	*!√{#sAray#}

<L>124999<pc>7-129-c<k1>siw<k2>*siw	*√{#siw#}

<L>125414<pc>7-135-c<k1>sinv<k2>*sinv	*√{#sinv#}

<L>125421<pc>7-135-c<k1>siB<k2>*siB	*√{#siB#}

<L>125432<pc>7-136-a<k1>simB<k2>*simB	*√{#simB#}

<L>125453<pc>7-136-a<k1>sil<k2>*sil	*√{#sil#}

<L>125491<pc>7-136-c<k1>sIk<k2>*sIk	*√{#sIk#}

<L>125703<pc>7-139-b<k1>sukfty<k2>*sukfty	*!√{#sukfty#}

<L>125956<pc>7-142-b<k1>suKy<k2>*suKy	*!√{#suKy#}

